62.6376,1748.58,2168.94,504.854,1877.8,1589.32,1374.27,-51.2217,50.0187,-15.028,61.2217,9.98131,45.028
63.5776,1700.81,2214.56,492.811,1934.96,1600.09,1414.52,-50.3546,47.142,-10.713,60.3546,12.858,40.713
64.6036,1649.76,2261.52,483.93,1996.28,1614.69,1454.18,-49.1325,44.4713,-6.70688,59.1325,15.5287,36.7069
65.7271,1595.39,2310.06,478.541,2061.88,1633.57,1493.27,-47.6171,41.9936,-2.99047,57.6171,18.0064,32.9905
66.9607,1537.73,2360.4,477.038,2131.87,1657.24,1531.78,-45.8573,39.6964,0.455377,55.8573,20.3036,29.5446
68.3183,1476.82,2412.81,479.886,2206.37,1686.29,1569.66,-43.8917,37.5672,3.64926,53.8917,22.4328,26.3507
69.8152,1412.72,2467.52,487.628,2285.43,1721.39,1606.83,-41.7504,35.5941,6.60888,51.7504,24.4059,23.3911
71.4686,1345.6,2524.82,500.889,2369.09,1763.3,1643.17,-39.4566,33.7661,9.3508,49.4566,26.2339,20.6492
73.2981,1275.65,2585,520.389,2457.33,1812.89,1678.55,-37.0272,32.073,11.8905,47.0272,27.927,18.1095
75.3257,1203.19,2648.39,546.953,2550.06,1871.15,1712.82,-34.4736,30.5053,14.242,44.4736,29.4947,15.758
77.5431,1129.7,2714.4,580.986,2645.73,1938.19,1745.31,-31.8406,29.074,16.389,41.8406,30.926,13.611
79.9369,1056.71,2782.41,622.605,2742.66,2013.81,1775.5,-29.1681,27.7826,18.3262,39.1681,32.2174,11.6738
82.5215,984.863,2852.66,672.301,2840.35,2098.63,1803.34,-26.4566,26.615,20.0775,36.4566,33.385,9.92251
85.3098,914.969,2925.35,730.555,2938.13,2193.23,1828.74,-23.7054,25.5594,21.661,33.7054,34.4406,8.33903
88.3148,847.973,3000.69,797.859,3035.18,2298.2,1851.58,-20.9107,24.6058,23.0913,30.9107,35.3942,6.9087
91.5529,784.914,3078.93,874.782,3130.61,2414.25,1871.8,-18.0631,23.7458,24.3813,28.0631,36.2542,5.61874
95.0405,727.038,3160.35,961.897,3223.37,2542.07,1889.32,-15.1508,22.9732,25.5402,25.1508,37.0268,4.45982
